Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
2021-01-05T02:30,0.669,1.070,3.385,4.484,90.43,28.450
2021-01-05T03:00,0.705,1.380,3.308,4.673,95.43,28.450
2021-01-05T03:30,0.707,1.520,3.300,3.551,74.43,28.450
2021-01-05T04:00,0.743,1.350,3.488,3.928,73.43,28.450
2021-01-05T04:30,0.721,1.260,3.456,4.112,73.43,28.500
2021-01-05T05:00,0.684,1.150,3.394,3.902,66.43,28.500
2021-01-05T05:30,0.695,1.380,3.278,4.088,53.43,28.500
2021-01-05T06:00,0.791,1.440,3.433,3.675,60.43,28.550
2021-01-05T06:30,0.814,1.720,3.506,3.892,67.43,28.550
2021-01-05T07:00,0.865,1.420,3.531,3.884,54.43,28.550
2021-01-05T07:30,0.834,1.450,3.527,3.888,49.43,28.550
2021-01-05T08:00,0.862,1.480,3.486,4.264,67.43,28.600
2021-01-05T08:30,0.851,1.550,3.556,3.951,56.43,28.550
2021-01-05T09:00,0.949,1.790,3.619,4.564,60.43,28.600
2021-01-05T09:30,0.987,1.760,3.867,4.415,45.43,28.600
2021-01-05T10:00,1.002,1.570,3.839,4.498,33.43,28.600
2021-01-05T10:30,0.986,1.630,3.829,4.796,30.43,28.600
2021-01-05T11:00,1.002,1.770,3.845,4.394,23.43,28.600
2021-01-05T11:30,1.047,1.800,3.937,4.924,43.43,28.600
2021-01-05T12:00,0.942,1.550,3.986,4.857,18.43,28.650
2021-01-05T12:30,0.935,1.850,3.867,4.846,19.43,28.600
2021-01-05T13:00,0.955,1.680,3.873,4.809,23.43,28.600
2021-01-05T13:30,1.014,1.690,3.785,5.100,28.43,28.550
2021-01-05T14:00,1.098,1.970,4.012,4.318,21.43,28.550
2021-01-05T14:30,1.064,1.830,4.092,4.933,23.43,28.550
2021-01-05T15:00,0.992,1.760,4.054,5.076,22.43,28.550
2021-01-05T15:30,0.901,1.660,3.984,4.693,32.43,28.550
2021-01-05T16:00,0.835,1.340,4.032,4.725,22.43,28.250
2021-01-05T16:30,0.763,1.370,4.244,5.477,39.43,28.200
2021-01-05T17:00,0.757,1.160,4.180,5.567,30.43,28.200
2021-01-05T17:30,0.739,1.110,4.136,5.259,21.43,28.200
2021-01-05T18:00,0.697,1.570,4.119,4.953,35.43,28.150
